SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,IMG_URL,DESCRIPTION
Rhea americana,Greater Rhea,grerhe1,Rheiformes,Rheas,Rheidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/88756811/1800,"The largest bird in South America; resembles an ostrich and is unmistakable. Flightless and appears tailless. Mostly gray-brown overall with very long legs and neck and a proportionally small head. Males have a dark brown crown and blackish lower neck and upperparts. Females have lighter plumage. Juveniles look similar to adults but are smaller. Inhabits open areas with scattered trees and shrubs, such as savannas and pampas, where it can gather in large groups. The males are responsible for incubating the eggs and looking after the chicks."
Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes,Rheas,Rheidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/22488731/1800,"This flightless South American relative of the ostriches stands about 5 feet tall with a body about the size of a sheep; no similar species in its range. Rheas roam widely on open Patagonian steppe and also occur locally in open habitats of the Andes, mainly at very high elevations. Can be confiding where used to people, but in other areas wary, running strongly and quickly. Rheas occur singly or in groups, and males take care of the young. Adults have bold pale spots on the body, first-year birds are plainer overall."
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/64933811/1800,"Plump chickenlike bird found on the ground inside montane forest from extreme western Venezuela to extreme northern Peru. Dark brownish overall with a paler throat, messy vermiculation on the upperparts and flanks, and a warm tawny belly. Occurs from around 1,500m-3,200m, within forest. Very rarely seen. Listen for its song, a series of repeated querulous notes."
Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/38249511/1800,"Rotund chickenlike bird, far more often heard than seen. Like a dove but body is even more circular and tail shorter. Most similar to Great Tinamou but generally found at higher elevations; also warmer rufous-brown below with small buffy spots on back and grayer head. Lives on the ground in montane forests. Shy and difficult to see; most often seen running away along a trail. Listen for series of repeated nasal call notes."
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/120022041/1800,"Fairly large, terrestrial bird of Andean cloud forest. It has a gray head, a white throat, white speckling on the wings, and faint barring on the belly. Similar to White-throated Tinamou, but Hooded has a grayer head, a less mottled neck, and a different voice, and is found at higher elevations. Very shy and solitary, heard far more often than seen; song is a nasal “ow” repeated every few seconds."
Tinamus tao,Gray Tinamou,grytin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/32715241/1800,"Very large chicken-like bird, widespread across the Amazon basin, but nowhere common. Distinguished from other tinamous by entirely gray plumage with fine black barring on the upperparts and some white speckling on the head. Gray Tinamou is also larger than other large species such as Great and White-throated Tinamous. Favors areas of upland forest and is most often encountered by voice, a single, short hollow whistle given at long intervals."
Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/64278691/1800,"Large, dumpy, almost tailless terrestrial inhabitant of the Atlantic Forest, where it walks quietly through forests with an open understory. This tinamou has a gray-brown barred back and vent, pale gray on the belly with a prominent pale stripe on the side of the neck. Very secretive, best identified by song, a series of “frru” whistles with long silences between them."
Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/26233561/1800,"Large, rare tinamou found in cloud forest along the east slope of the Andes. It is uniformly sooty gray, much darker and plainer than Gray Tinamou. Rusty lower underparts are hard to see in the field. Like other forest tinamous, it is far more likely to be heard than seen. Vocalizations include a low, drawn out coo, like a dove’s but longer, and a series of low, modulated whistles."
Tinamus major,Great Tinamou,gretin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/262853911/1800,"Large, almost tailless game bird that lives on the ground in humid tropical lowlands. Hunted for food and thus has been wiped out from many areas. Rarely seen, but haunting two-parted whistled song can be heard, especially early and late in the day and even at night. Sometimes flushes explosively from close range, crashing off through the forest understory. Plumage rather plain overall, warm brown above and grayish below, with grayish (not reddish) legs."
Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/106835131/1800,"Secretive chickenlike bird that walks on the ground inside forest. Very plump; looks tailless. A large tinamou but smaller than similar Great. If seen well, look for distinctive pale spotting on wings along with white throat and lower belly. Fairly common and widespread in lowland Amazonian forest, occasionally up into the foothills. Far more often heard than seen: listen for its haunting song, a pair of low hoots, the second note rising."
Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/221972671/1800,"Small dark tinamou of tropical lowlands. Entirely brownish gray. Found in the understory of rainforest, especially along streams and in areas with dense undergrowth. Listen for a short, flat whistle, repeated about once every four seconds."
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/249513001/1800,"A very dark, chicken-like bird found in lowland rainforest in northwestern Ecuador and western Colombia. Plumage is dark gray, but can appear almost black in the shady rainforest understory. Legs, eye, and base of bill are reddish. No other tinamou in range has uniformly dark plumage. Shy and hard to see as it walks quietly on the ground inside the rainforest. Heard far more often than seen; its song is a short, high-pitched, descending whistle repeated every 10-15 seconds."
Crypturellus soui,Little Tinamou,littin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/166397691/1800,"Furtive, almost tailless small game bird that lives on the ground in humid tropical lowlands. Favors forest edge and dense secondary growth rather than forest interior. When disturbed runs rather than flies. Very rarely seen (sometimes crosses quiet roads or trails), but tremulous whistles are often heard, especially early and late in the day. Plumage is dark brownish overall with grayer head and whitish throat."
Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/242971681/1800,"Unbarred, dark rufous tinamou with a gray face, throat, and belly. With a good view note the pale eyes and orange base to the bill. Found at medium to high elevations in humid forest on the slopes of a few tepuis in southeastern Venezuela, northern Brazil, and southwestern Guyana. Rarely encountered unless voice is known; song is a long and high-pitched whistle, fading at end. Similar to Little Tinamou (which has a very different voice), but Tepui Tinamou is darker and has pale eyes."
Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/61307611/1800,"A rusty-colored tinamou with a grayish head and darker brown back. The vent is barred, but can be hard to see. Frequents humid forest (including second growth forests) with a dense understory, where it is shy and hard to see. The song is a long series of loud ascending whistles; the pauses between them can be long or short."
Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/114152581/1800,"This tinamou is medium-sized with a dark gray body and white throat. It is variably barred above and below. These “undulations” vary in intensity among subspecies. Like other tinamous, shy and difficult to see. Found in both wet and dry forests, preferring areas near rivers, but most often seen crossing roads or trails. Easily recognized by its voice, a far-carrying melancholic “whoo-who-whooo” repeated for long periods mostly in the early mornings and late afternoon."
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/125580831/1800,"Secretive chickenlike bird that walks on the ground inside forest. Very plump; looks tailless. A distinctive tinamou of dry forests, can even be detected as it noisily runs through dry leaf litter. Visually striking with bright coral-red legs and heavily barred back and wings (more prominent on females). Also note pale eyebrow. Otherwise grayish-brown overall. Fairly common within limited range in southwestern Ecuador and northwestern Peru. Occurs in dry scrubby forests and second-growth, usually with fairly thick understory. More often heard than seen; listen for its explosive rising whistle."
Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/345272791/1800,"Dark, subtly-patterned tinamou. Cold grayish brown, with a more reddish head and variable black barring on the wings; females are more strongly barred than males. Usually found in mature upland rainforest. Its song is a distinctive long, flat whistle that is held for at least five seconds, sometimes much longer; beware, in parts of their range there are similar-sounding cicadas!"
Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/245800361/1800,"Unobtrusive, poorly-known tinamou. Mostly rusty-colored with a scaly back and wings. Females are more boldly marked on the back and wings than males. Found at the edge of dense forests and especially in white sand forests. The song is a rather short double whistle: “whoo-whoooooooo.” The similar Variegated Tinamou has a grayish head and more barring on the back."
Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/163373031/1800,"Shy, fowl-like bird of open forest and scrubby areas; heard far more often than seen. Best identified by habitat and voice. Red legs are diagnostic. Forages alone or in pairs on ground in scrubby forests on sandy soils, walking slowly to pick up fruit, seeds and insects; does not gather in flocks. Haunting song is a slow, rising series of 2–3 notes; it is similar to that of Undulated Tinamou but typically has fewer notes and lacks a strongly upslurred final note."
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/63746171/1800,"A very shy and hard to see tinamou, endemic to Brazil. If views allow, note the heavily barred back and vent, rufous belly and throat, yellow legs, dark gray breast, and a pale well-marked eyebrow. Found in forest, scrub, and savanna. The voice is a series of mournful deep hoots: “woo wuh wuh wuh.”"
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/112415291/1800,"Subtly colorful tinamou of dense habitats in the lowlands and Andean foothills. Almost exclusively found in bamboo thickets, but also occasionally found in dense riverside vegetation and secondary growth, including around agriculture. Rarely seen, but frequently heard throughout the day; it usually gives about one call note per minute, a springy “bwow”. The most helpful visual field mark is its bright orange legs; it also has a black or dark gray cap, and brown plumage with cold gray head and neck, and reddish orange throat."
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/291961701/1800,"A furtive, almost tailless game bird that lives on the ground in humid tropical forest of lowlands and foothills. Rarely seen (sometimes crosses quiet roads or trails), but mournful drawn out song is often heard, especially early and late in the day. Plumage is dark overall with a grayish neck and breast; female has distinct barring on upperparts. Prefers humid forest, rather than drier habitats where Thicket Tinamou is found."
Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/109285861/1800,"A rare and poorly known chickenlike bird restricted to remote areas in extreme southeast Panama and northwest Colombia. Like other forest-based tinamous, this species walks on the ground and is very difficult to see. Occurs in mature foothill forests up to around 1,500 m. Dark brown overall with a blackish head, a slightly paler throat, and some darker barring on the belly and back. Legs reddish. Listen for its low mournful whistle that rises slightly at the end."
Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/108353581/1800,"Secretive chickenlike bird that walks on the ground inside forest. Very plump; looks tailless. A relatively small tinamou with a striking pattern: look for bright rufous neck contrasting with blackish upperparts distinctly barred with buff. Fairly common and widespread from western Amazonia to southeast Brazil, although it is rarely seen in dense understory of terra firme forest. Listen for its whistled song, a single long note followed by a pause and then a series of shorter querulous rising notes."
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/462598631/1800,"A furtive, ‘tail-less’ gamebird that lives on the ground in tropical woodland and forest. Rarely seen (sometimes crosses quiet roads or trails), but haunting whistled song is often heard, especially early and late in the day. Note distinct pale barring on upperparts and bright reddish legs. Birds in West Mexico are paler and grayer overall, those in East Mexico and Central America have a rusty-colored breast and belly."
Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/248248081/1800,"Small tinamou, barred cinnamon and black above, rusty below, with a pale belly. Found mostly in seasonally flooded forest, but also recorded in upland forest, where it forages on the ground. The song is a series of musical whistles, starting slowly and accelerating towards the end."
Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/608911273/1800,"Small tinamou of floodplain rainforest. Reddish brown with limited black barring on the wings. Found in tall lowland rainforest, especially around water and in seasonally flooded areas, and can be quite common. Listen for a series of whistles given at a pace of about one note per four seconds that gradually accelerates until about twice as fast; recalls the song of Cinereous Tinamou, but faster and usually accelerating."
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/212920431/1800,"Small unobtrusive tinamou, which can be locally common in grasslands, savanna, and agricultural areas. Striking red bill and legs are its most notable features, otherwise largely gray with a brown back and scalloped vent. Similar Tataupa Tinamou has purple legs. The song is a long, descending trill of “trii” notes that finishes with a low “truuu truuu truuu” which can be heard all day. Sometimes just the last notes are sung."
Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/550919161/1800,"Very rare and poorly known tinamou of remote lowland rainforest. Existing records suggest that it favors areas with sandy soil. Rather small for a tinamou, with a chestnut head, a black back, wings marked with rusty bars, dingy underparts, and a pale throat. Few birders have ever seen it, and even hearing one requires some luck. Song is a series of whistles that starts out by accelerating and rising slightly in pitch, then slows down and falls towards the end."
Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/43463631/1800,"Small tinamou with a red bill, purplish legs, purple back, gray head, and a black-and-white vent. Similar to Small-billed Tinamou, but the song starts with a fast trill “trri trri trri” and ends with a loud descending “trru trru trru.” Prefers moist forests including second growth and dense forest edges."
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/587307391/1800,"Distinctive tinamou with a densely barred body, orangish neck, and dark brown crown that can be raised. Rarely flies, but when it does, flight is short and lumbering on distinctive rusty wings. Inhabits wet grasslands, savannas, and pastures where it is heavily hunted, and thus very shy. The song is a descending repetitive “tchirip, ju ju ju,” which can be heard all day."
Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/185032001/1800,"Large, streaky tinamou of upper elevations of the east side of the Andes. The highland version of Red-winged Tinamou, similar in voice and habits. Fairly rare and local in tall grass in the high Andes from NW Argentina to the La Paz area in Bolivia. Prefers steep hillsides and slopes, largely absent from the altiplano. From other montane tinamous by characteristic plaintive, two part whistled song, for which it is named (“HUAY-co”). Shy and retiring, can be quite difficult to see, most often found by voice."
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/105622901/1800,"Rarely-seen terrestrial bird found in the high Andes of southern Peru and adjacent border regions of Bolivia. No other tinamou has such a long, curved bill; also note the stout yellow legs and profuse white markings on back and breast. Inhabits wet, grassy areas adjacent to scrub and woodland. Usually only detected by voice; song is a single piercing whistle given at well-spaced intervals."
Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/428893471/1800,"Gray-and-brown chicken-like bird found at high elevations in rocky Andean scrub and grasslands. Finely barred across its head, back, and wings. Note its small, slightly decurved bill, which helps distinguish it from the longer-billed Andean Tinamou. Ornate is larger than that species as well. Gives rapid high “wee!” calls when flushed."
Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/270566571/1800,"Cryptically plumaged chickenlike bird of matorral shrubland, open scrub, and farmland; endemic to central Chile. Found as singles or small groups; most often seen along roadsides early and late in the day. Usually runs away, but if disturbed will flush explosively from underfoot with shrieking whistles. The only tinamou in its range, but compare with distinctively patterned California Quail, which often occurs in same areas. Song is a short, abrupt whistle; given irregularly and hard to trace."
Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/50045291/1800,"Small, short-necked tinamou of the chaco region of the central Southern Cone. Most often detected by voice. From similar White-bellied Nothura, with which its range partly overlaps, by gray legs and brownish belly. Tends to prefer thorn forest with dense grass or scrubby understory, but can be seen along road sides. Song a 5-8 part flat whistle, given with progressively more emphasis."
Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/36037551/1800,"Tan, heavily patterned tinamou with a down-curved bill. Found in montane scrub and grasslands, including around forest edges. Where it overlaps with the similar Curve-billed Tinamou, note Andean’s colder brown coloration and slightly reduced patterning below. Smaller than the similar Ornate Tinamou, with a larger bill. Often undetected until it flushes explosively from underfoot. Listen for its simple call, a high, piercing, rising whistle: “tuEEE!”"
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/49398041/1800,"A terrestrial, chickenlike bird found only at very high elevations in the Andes. Inhabits grassy areas such as overgrown pastures and paramo;does not venture into dense forest. It has cinnamon underparts and dark brown upperparts that are heavily streaked with white; sometimes exhibits a small crest. Typical, but rarely heard call is a short, high-pitched whistle. Usually shy and hard to see, but occasionally comes out to feed in the open along quiet roads early in the morning."
Nothura boraquira,White-bellied Nothura,whbnot1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/417307231/1800,"Small, sand-colored tinamou with a mix of rusty and dark spots on the back and a white belly. Found in natural and human-modified grasslands, where it is difficult to catch sight of due to its retiring nature and cryptic plumage. The song is a high, thin “peeea.”"
Nothura minor,Lesser Nothura,lesnot1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/216804991/1800,Sandy-colored tinamou that usually holds an upright posture. Has a brown crown and a heavily streaked back and throat. Occurs in grassland areas with scrub. The song is a series of metallic whistles: “peee peeeeee-peeep peeep peeep peeeeee.” The similar Spotted Nothura is larger and more rufescent and prefers areas with shorter grasses.
Nothura darwinii,Darwin's Nothura,darnot1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/592966271/1800,"Quail-like tinamou found in a variety of open habitats including grassland, farmland, and steppe. It occupies high elevations in the northern part of its range, but can be found down to near sea level at its southern limit. Small size (compared to most tinamous) and buff belly and streaks help to identify it. Very similar to Spotted Nothura, and in the area of overlap it is usually not possible to separate them in the field; in this region Darwin’s Nothura tends to be found at higher elevations. Vocalizations include a long, ringing trill and a slow series of piping notes."
Nothura maculosa,Spotted Nothura,sponot1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/43528371/1800,"Small sandy-colored tinamou; largely yellow below with a cryptically patterned back and head with a mix of dark and pale feathers. Mostly found in natural grasslands and savannas as well as in cultivated areas and can be locally common, but difficult to spot. The song is a repetitive “Tchip, tchip, tchip, tchip” or an insect-like “triiiiiiiiiiiiiiiiiiiiiii” trill."
Eudromia elegans,Elegant Crested-Tinamou,elctin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/183115151/1800,"Distinctive and striking tinamou, nearly endemic to Argentina, from northern Patagonia through the Monte desert region. Prefers open, rocky habitat. In the northern chaco replaced by similar Quebracho Crested-Tinamou. Often found by its three-part whistled song: a “twee-tyoo-too” similar to but less emphatic and more consistently pitched than Red-winged Tinamou."
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/205816421/1800,"A striking tinamou of the northern chaco desert and scrub. Very similar to Elegant Crested-Tinamou, but range does not overlap. Prefers dense scrub and understory, but can also be seen in openings and roadsides. Voice distinctive, and quite different from Elegant Crested-Tinamou: two whistles that are each flat in pitch, then rising sharply in pitch at the end - “Tooooo-wee! Tooo-wee!”"
Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/204564671/1800,"Large, cryptically patterned chickenlike bird of puna grassland and bogs in the high Andes. Usually seen in trios or family groups (males take care of the young); fairly common where not hunted, but mostly wary of people. Very heavy bodied and runs strongly; very rarely flies. Striped head and dark rusty belly are diagnostic plumage features. Loud, shrieky, and rollicking choruses carry far in the thin air of the altiplano."
Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamiformes,Tinamous,Tinamidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/81598571/1800,"Large, cryptically patterned chickenlike bird of Patagonian grasslands with bushes and low shrubs. Scarce and rarely encountered. Like related tinamous of open habitats, most often in trios or family groups (males take care of the young). Runs strongly in preference to flying (in flight note bright rusty wings). Striped head (without a crest) and spotted upperparts are diagnostic plumage features; only other tinamou in its range is the rather different Elegant Crested-Tinamou. Loud haunting whistles carry well, but the sound is easily whipped away in the wind."
